difficulty,name,link
5.8,Puzzle,https://open.kattis.com/problems/pebblepuzzle
6.6,Hringvegurinn,https://open.kattis.com/problems/hringvegurinn
6.4,Intelligence Exchange,https://open.kattis.com/problems/intelligenceexchange
5.6,Box of Mirrors,https://open.kattis.com/problems/boxofmirrors
8.9,Coupons,https://open.kattis.com/problems/coupons
9.6,Mineral deposits,https://open.kattis.com/problems/boi23.mineraldeposits
8.6,Substitution Mania!,https://open.kattis.com/problems/substitutionmania
7.6,Generating Numbers,https://open.kattis.com/problems/generatingnumbers
9.4,Pipes,https://open.kattis.com/problems/pipes3
5.7,Board Coloring,https://open.kattis.com/problems/board
8.6,Deck Randomisation,https://open.kattis.com/problems/deckrandomisation
7.5,Ice Cream Machines,https://open.kattis.com/problems/icecreammachines
5.8,Particle Collision,https://open.kattis.com/problems/particlecollision
8.3,Common Ground,https://open.kattis.com/problems/commonground
5.5,Juice,https://open.kattis.com/problems/juice
9.6,Dictionary Compression,https://open.kattis.com/problems/dictionary
6.1,Mixed-Base Arithmetic,https://open.kattis.com/problems/mixedbasearithmetic
5.9,Squirdle,https://open.kattis.com/problems/squirdle
6.4,Halloween Loot,https://open.kattis.com/problems/halloweenloot
8.0,Packing Pests,https://open.kattis.com/problems/packingpests
5.6,Book Circle,https://open.kattis.com/problems/bookcircle
7.8,Getting Rid of Coins,https://open.kattis.com/problems/ridofcoins
6.0,Bipartite Battle,https://open.kattis.com/problems/bipartitebattle
5.7,Surveillance,https://open.kattis.com/problems/surveillance
7.4,Economical Coverage,https://open.kattis.com/problems/ecocover
6.2,Ticket Lottery,https://open.kattis.com/problems/lottery
7.3,Stacking Plates,https://open.kattis.com/problems/stacking
6.2,Polly Gone,https://open.kattis.com/problems/pollygone
7.0,Apple Delivery,https://open.kattis.com/problems/appledelivery
5.5,Birthday Paradox,https://open.kattis.com/problems/birthdayparadox
8.0,Handkäs and Mispelchen,https://open.kattis.com/problems/handkasandmispelchen
7.9,Polygraph,https://open.kattis.com/problems/polygraph
8.2,Guess the Numbers,https://open.kattis.com/problems/guessthenumbers
6.4,Grand Opening,https://open.kattis.com/problems/grandopening
6.6,Keep Them Separated,https://open.kattis.com/problems/keepthemseparated
6.7,Pseudo-random Numbers,https://open.kattis.com/problems/pseudorandomnumbers
