difficulty,name,link
2.5,Akcija,https://open.kattis.com/problems/akcija
1.3,Hraðgreining,https://open.kattis.com/problems/hradgreining
2.3,ASCII Addition,https://open.kattis.com/problems/asciiaddition
1.9,Human Cannonball Run,https://open.kattis.com/problems/humancannonball
2.3,Sly Students,https://open.kattis.com/problems/slystudents
1.2,Tölvunarfræðingar telja,https://open.kattis.com/problems/tolvunarfraedingartelja
1.7,Coconut Splat,https://open.kattis.com/problems/coconut
2.3,Same Digits (Easy),https://open.kattis.com/problems/samedigitseasy
1.5,Judging Moose,https://open.kattis.com/problems/judgingmoose
1.2,Echo Echo Echo,https://open.kattis.com/problems/echoechoecho
2.1,Hardware,https://open.kattis.com/problems/hardware
2.2,Bus Lines,https://open.kattis.com/problems/buslines
2.1,Flip Flow,https://open.kattis.com/problems/flipflow
1.4,Magic Trick,https://open.kattis.com/problems/magictrick
1.9,N-Puzzle,https://open.kattis.com/problems/npuzzle
1.6,Hangman,https://open.kattis.com/problems/hangman
1.4,GCVWR,https://open.kattis.com/problems/gcvwr
1.9,Scaling Recipe,https://open.kattis.com/problems/scalingrecipe
2.3,Euclidean TSP,https://open.kattis.com/problems/euclideantsp
2.2,Progressive Scramble,https://open.kattis.com/problems/progressivescramble
2.1,Don't Fall Down Stairs,https://open.kattis.com/problems/dontfalldownstairs
2.1,Veci,https://open.kattis.com/problems/veci
1.6,Sum Kind of Problem,https://open.kattis.com/problems/sumkindofproblem
2.5,Töflur,https://open.kattis.com/problems/toflur
2.3,Event Planning,https://open.kattis.com/problems/eventplanning
1.9,Locust Locus,https://open.kattis.com/problems/locustlocus
1.6,SMIL,https://open.kattis.com/problems/smil
2.7,Shiritori,https://open.kattis.com/problems/shiritori
2.3,Longest Prime Sum,https://open.kattis.com/problems/longestprimesum
2.3,Army Strength (Easy),https://open.kattis.com/problems/armystrengtheasy
2.6,"Over the Hill, Part 1",https://open.kattis.com/problems/overthehill1
1.6,Synchronizing Lists,https://open.kattis.com/problems/synchronizinglists
1.5,Fading Wind,https://open.kattis.com/problems/fadingwind
2.3,Distributing Poffins,https://open.kattis.com/problems/distributingpoffins
1.6,Homework,https://open.kattis.com/problems/heimavinna
1.5,Grading,https://open.kattis.com/problems/grading
1.9,Contingency Planning,https://open.kattis.com/problems/contingencyplanning
1.8,Prva,https://open.kattis.com/problems/prva
1.7,Tower Construction,https://open.kattis.com/problems/tornbygge
2.0,Lawn Mower,https://open.kattis.com/problems/lawnmower
2.4,Exam Redistribution,https://open.kattis.com/problems/redistribution
1.6,Mixed Fractions,https://open.kattis.com/problems/mixedfractions
2.1,Fun House,https://open.kattis.com/problems/funhouse
2.1,Egypt,https://open.kattis.com/problems/egypt
2.4,The Calculus of Ada,https://open.kattis.com/problems/ada
2.1,Set!,https://open.kattis.com/problems/set
2.7,Horror List,https://open.kattis.com/problems/horror
2.3,Hidden Password,https://open.kattis.com/problems/hidden
1.7,Racing Around the Alphabet,https://open.kattis.com/problems/racingalphabet
1.6,Ordered Problem Set,https://open.kattis.com/problems/orderedproblemset
1.6,Stopwatch,https://open.kattis.com/problems/stopwatch
1.6,Square Peg,https://open.kattis.com/problems/squarepeg
2.4,Atlögur,https://open.kattis.com/problems/atlogur
2.5,Fend Off Titan,https://open.kattis.com/problems/fendofftitan
2.2,Metaprogramming,https://open.kattis.com/problems/metaprogramming
1.6,Relocation,https://open.kattis.com/problems/relocation
1.7,Sort of Sorting,https://open.kattis.com/problems/sortofsorting
1.5,Flýtibaka,https://open.kattis.com/problems/flytibaka
2.5,Illuminated City,https://open.kattis.com/problems/stadiljus
1.5,Veður - Vindhraði,https://open.kattis.com/problems/vedurvindhradi
2.0,Minimum Scalar Product,https://open.kattis.com/problems/minimumscalar
2.2,Field Trip,https://open.kattis.com/problems/fieldtrip
2.1,Jazz it Up!,https://open.kattis.com/problems/jazzitup
1.7,Unlock Pattern,https://open.kattis.com/problems/unlockpattern
2.7,Not Amused,https://open.kattis.com/problems/notamused
2.4,Pebble Solitaire,https://open.kattis.com/problems/pebblesolitaire2
1.7,Gerrymandering,https://open.kattis.com/problems/gerrymandering
2.1,"Bacon, Eggs, and Spam",https://open.kattis.com/problems/baconeggsandspam
2.6,Safe Houses,https://open.kattis.com/problems/safehouses
2.0,Counting Triangles,https://open.kattis.com/problems/countingtriangles
1.9,Honour Thy (Apaxian) Parent,https://open.kattis.com/problems/apaxianparent
2.7,Ferry Loading IV,https://open.kattis.com/problems/ferryloading4
2.2,Conquest Campaign,https://open.kattis.com/problems/conquestcampaign
2.5,Soundex,https://open.kattis.com/problems/soundex
1.3,Chanukah Challenge,https://open.kattis.com/problems/chanukah
1.9,Best Relay Team,https://open.kattis.com/problems/bestrelayteam
1.2,Millifærsla,https://open.kattis.com/problems/millifaersla
2.3,Reseto,https://open.kattis.com/problems/reseto
2.4,Tracking Shares,https://open.kattis.com/problems/trackingshares
2.2,Hunt the Wumpus,https://open.kattis.com/problems/huntthewumpus
1.6,Cut in Line,https://open.kattis.com/problems/cutinline
2.3,The Mailbox Manufacturers Problem,https://open.kattis.com/problems/mailbox
1.5,Vefþjónatjón,https://open.kattis.com/problems/vefthjonatjon
1.9,Attendance,https://open.kattis.com/problems/attendance2
2.5,Bits,https://open.kattis.com/problems/bits
1.7,Jewelry Box,https://open.kattis.com/problems/jewelrybox
2.7,Supercomputer,https://open.kattis.com/problems/supercomputer
1.4,Champernowne Verification,https://open.kattis.com/problems/champernowneverification
1.2,Autori,https://open.kattis.com/problems/autori
2.1,Okvir,https://open.kattis.com/problems/okvir
2.7,Glyph Recognition,https://open.kattis.com/problems/glyphrecognition
1.8,Flexible Spaces,https://open.kattis.com/problems/flexible
2.3,Speedrun,https://open.kattis.com/problems/speedrun
2.1,Some Sum,https://open.kattis.com/problems/somesum
2.6,Hot Springs,https://open.kattis.com/problems/hotsprings
2.6,Ornaments,https://open.kattis.com/problems/ornaments
1.7,Star Arrangements,https://open.kattis.com/problems/stararrangements
1.5,Weak Vertices,https://open.kattis.com/problems/weakvertices
2.0,Mult!,https://open.kattis.com/problems/mult
1.8,Mjehuric,https://open.kattis.com/problems/mjehuric
2.6,Array Smoothening,https://open.kattis.com/problems/arraysmoothening
2.1,Anti-Palindrome,https://open.kattis.com/problems/antipalindrome
1.9,Howl,https://open.kattis.com/problems/howl
1.4,Dice Cup,https://open.kattis.com/problems/dicecup
2.7,Statues,https://open.kattis.com/problems/statues
1.9,Radio Commercials,https://open.kattis.com/problems/commercials
1.5,Poker Hand,https://open.kattis.com/problems/pokerhand
1.6,Simon Says,https://open.kattis.com/problems/simonsays
1.4,Undead or Alive,https://open.kattis.com/problems/undeadoralive
2.4,Beat the Spread!,https://open.kattis.com/problems/beatspread
2.2,Circuit Math,https://open.kattis.com/problems/circuitmath
2.3,Pizza Hawaii,https://open.kattis.com/problems/pizzahawaii
2.2,Invoker (Easy),https://open.kattis.com/problems/invokereasy
1.4,Last Factorial Digit,https://open.kattis.com/problems/lastfactorialdigit
1.7,Speeding,https://open.kattis.com/problems/speeding
1.9,Saving For Retirement,https://open.kattis.com/problems/savingforretirement
2.5,Simon Says,https://open.kattis.com/problems/simon
2.3,Character Development,https://open.kattis.com/problems/character
1.2,Framtíðar FIFA,https://open.kattis.com/problems/fifa
1.7,T9 Spelling,https://open.kattis.com/problems/t9spelling
2.6,Bottled-Up Feelings,https://open.kattis.com/problems/bottledup
1.5,Coffee Cup Combo,https://open.kattis.com/problems/coffeecupcombo
1.3,Stuck In A Time Loop,https://open.kattis.com/problems/timeloop
2.0,Polynomial Multiplication 1,https://open.kattis.com/problems/polymul1
1.8,Track Smoothing,https://open.kattis.com/problems/tracksmoothing
1.4,Spritt,https://open.kattis.com/problems/spritt
1.9,Mancala,https://open.kattis.com/problems/mancala
2.7,Robot Protection,https://open.kattis.com/problems/robotprotection
1.9,Expected Earnings,https://open.kattis.com/problems/expectedearnings
1.2,Knight Packing,https://open.kattis.com/problems/knightpacking
2.2,Printing Costs,https://open.kattis.com/problems/printingcosts
2.3,Sideways Sorting,https://open.kattis.com/problems/sidewayssorting
