difficulty,name,link
4.3,Knigs of the Forest,https://open.kattis.com/problems/knigsoftheforest
5.2,Uzastopni,https://open.kattis.com/problems/uzastopni
4.9,Hittast,https://open.kattis.com/problems/hittast
4.8,Koffínhraði,https://open.kattis.com/problems/koffinhradi
4.8,"Tide Goes In, Tide Goes Out",https://open.kattis.com/problems/tide
4.0,Memory Match,https://open.kattis.com/problems/memorymatch
3.7,Connect the Dots,https://open.kattis.com/problems/connectthedots
5.2,Finn the Giant,https://open.kattis.com/problems/jattenfinn
3.0,Knitpicking,https://open.kattis.com/problems/knitpicking
4.8,Office Space,https://open.kattis.com/problems/officespace
5.2,Dyson Circle,https://open.kattis.com/problems/dysoncircle
2.8,Grandpa Bernie,https://open.kattis.com/problems/grandpabernie
5.2,Dead Fraction,https://open.kattis.com/problems/deadfraction
4.4,The Agglomerator,https://open.kattis.com/problems/agglomerator
3.1,Cu Chi Tunnels,https://open.kattis.com/problems/cuchitunnels
5.1,Contact Tracing,https://open.kattis.com/problems/contacttracing
3.1,Growing Rectangular Spiral,https://open.kattis.com/problems/rectangularspiral
5.2,Passing Secrets,https://open.kattis.com/problems/passingsecrets
4.0,A Feast For Cats,https://open.kattis.com/problems/cats
4.8,Pesky Mosquitoes,https://open.kattis.com/problems/mosquitoes
3.5,Flow Free,https://open.kattis.com/problems/flowfree
3.4,Robot Turtles,https://open.kattis.com/problems/robotturtles
4.7,Galactic Collegiate Programming Contest,https://open.kattis.com/problems/gcpc
2.8,Alien Numbers,https://open.kattis.com/problems/aliennumbers
3.5,War on Weather,https://open.kattis.com/problems/waronweather
3.6,Torn To Pieces,https://open.kattis.com/problems/torn2pieces
4.1,Alloys,https://open.kattis.com/problems/alloys
3.7,Music Collection,https://open.kattis.com/problems/musiccollection
2.8,Bus Numbers,https://open.kattis.com/problems/busnumbers2
3.3,Groupthink,https://open.kattis.com/problems/groupthink
4.5,Tax the Rich,https://open.kattis.com/problems/taxtherich
4.0,Access Denied,https://open.kattis.com/problems/accessdenied
5.0,Criss-Cross Cables,https://open.kattis.com/problems/crisscrosscables
3.2,I Hate The Number Nine,https://open.kattis.com/problems/nine
4.7,Pascal's Hyper-Pyramids,https://open.kattis.com/problems/hyperpyramids
